UniProt ID,Protein Name
Q96B97,SH3 domain-containing kinase-binding protein 1
Q96BK5,PIN2/TERF1-interacting telomerase inhibitor 1
Q96D09,G-protein coupled receptor-associated sorting protein 2
Q96D31,Calcium release-activated calcium channel protein 1
Q96EB6,NAD-dependent protein deacetylase sirtuin-1
Q96FW1,Ubiquitin thioesterase OTUB1
Q96G23,Ceramide synthase 2
Q96GD4,Aurora kinase B
Q96HC4,PDZ and LIM domain protein 5
Q96I25,Splicing factor 45
Q96J77,Tumor protein D55
Q96JB5,CDK5 regulatory subunit-associated protein 3
Q96KB5,Lymphokine-activated killer T-cell-originated protein kinase
Q96LQ0,Protein phosphatase 1 regulatory subunit 36
Q96MG7,Non-structural maintenance of chromosomes element 3 homolog
Q96N96-1,Isoform 1 of Spermatogenesis-associated protein 13
Q96NA2,Rab-interacting lysosomal protein
Q96P16-1,Isoform 1 of Regulation of nuclear pre-mRNA domain-containing protein 1A
Q96QF0-2,Isoform 1 of Rab-3A-interacting protein
Q96QH2,PML-RARA-regulated adapter molecule 1
Q96QK1,Vacuolar protein sorting-associated protein 35
Q96RF0,Sorting nexin-18
Q96RS0,Trimethylguanosine synthase
Q96RU8-1,Isoform 1 of Tribbles homolog 1
Q96S59,Ran-binding protein 9
Q96SD1,Protein artemis
Q99417,c-Myc-binding protein
Q99460,26S proteasome non-ATPase regulatory subunit 1
Q99496,E3 ubiquitin-protein ligase RING2
Q99523,Sortilin
Q99547,M-phase phosphoprotein 6
Q99549,M-phase phosphoprotein 8
Q99613,Eukaryotic translation initiation factor 3 subunit C
Q99640,Membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase
Q99661,Kinesin-like protein KIF2C
Q99697,Pituitary homeobox 2
Q99714,3-hydroxyacyl-CoA dehydrogenase type-2
Q99755,Phosphatidylinositol 4-phosphate 5-kinase type-1 alpha
Q99801,Homeobox protein Nkx-3.1
Q99828,Calcium and integrin-binding protein 1
Q99836-1,Isoform 1 of Myeloid differentiation primary response protein MyD88
Q99961,Endophilin-A2
Q99962,Endophilin-A1
Q99986,Serine/threonine-protein kinase VRK1
Q9BQ95,"Evolutionarily conserved signaling intermediate in Toll pathway, mitochondrial"
Q9BQA1,Methylosome protein WDR77
Q9BRQ6,MICOS complex subunit MIC25
Q9BSB4,Autophagy-related protein 101
Q9BSI4-3,Isoform 3 of TERF1-interacting nuclear factor 2
Q9BSM1,Polycomb group RING finger protein 1
Q9BSQ5-1,Isoform 1 of Cerebral cavernous malformations 2 protein
Q9BSW2,EF-hand calcium-binding domain-containing protein 4B
Q9BUJ2,Heterogeneous nuclear ribonucleoprotein U-like protein 1
Q9BUL8,Programmed cell death protein 10
Q9BUZ4,TNF receptor-associated factor 4
Q9BWF3-1,Isoform 1 of RNA-binding protein 4
Q9BXJ0-PRO_0000003535,
Q9BXK5,Bcl-2-like protein 13
Q9BXS4,Transmembrane protein 59
Q9BXW4,Microtubule-associated protein 1 light chain 3 gamma
Q9BXW6,Oxysterol-binding protein-related protein 1
Q9BY43,Charged multivesicular body protein 4a
Q9BY79,Membrane frizzled-related protein
Q9BYE7,Polycomb group RING finger protein 6
Q9BYG3,MKI67 FHA domain-interacting nucleolar phosphoprotein
Q9BZI7-2,Isoform 2 of Regulator of nonsense transcripts 3B
Q9BZQ8,Protein Niban 1
Q9BZV1,UBX domain-containing protein 6
Q9C005,Protein dpy-30 homolog
Q9GZQ8,Microtubule-associated protein 1 light chain 3 beta
Q9GZZ9,Ubiquitin-like modifier-activating enzyme 5
Q9H0A6,RING finger protein 32
Q9H0F7-1,Isoform 1 of ADP-ribosylation factor-like protein 6
Q9H0R8,Gamma-aminobutyric acid receptor-associated protein-like 1
Q9H0W5,Coiled-coil domain-containing protein 8
Q9H0Y0,Ubiquitin-like-conjugating enzyme ATG10
Q9H160,Inhibitor of growth protein 2
Q9H1Y0,Autophagy protein 5
Q9H269,Vacuolar protein sorting-associated protein 16 homolog
Q9H444,Charged multivesicular body protein 4b
Q9H469,F-box/LRR-repeat protein 15
Q9H492,Microtubule-associated protein 1 light chain 3 alpha
Q9H4A6,Golgi phosphoprotein 3
Q9H4B4,Serine/threonine-protein kinase PLK3
Q9H6E5,Speckle targeted PIP5K1A-regulated poly(A) polymerase
Q9H6T3,RNA polymerase II-associated protein 3
Q9H6Z4,Ran-binding protein 3
Q9H7M9,V-type immunoglobulin domain-containing suppressor of T-cell activation
Q9H8H2,ATP-dependent DNA helicase DDX31
Q9H8V3,Protein ECT2
Q9H9D4,Zinc finger protein 408
Q9HA38,Zinc finger matrin-type protein 3
Q9HAU4,E3 ubiquitin-protein ligase SMURF2
Q9HC52,Chromobox protein homolog 8
Q9HCE5,N(6)-adenosine-methyltransferase non-catalytic subunit METTL14
Q9HCE7,E3 ubiquitin-protein ligase SMURF1
Q9HCH5,Synaptotagmin-like protein 2
Q9HCU8,DNA polymerase delta subunit 4
Q9HD34,LYR motif-containing protein 4
Q9NP98,Myozenin-1
Q9NPI6,mRNA-decapping enzyme 1A
Q9NQR1,N-lysine methyltransferase KMT5A
Q9NQS7-1,Isoform 1 of Inner centromere protein
Q9NR28,Diablo IAP-binding mitochondrial protein
Q9NR77,Peroxisomal membrane protein 2
Q9NS23,Ras association domain-containing protein 1
Q9NS23-2,Isoform A of Ras association domain-containing protein 1
Q9NS37,CREB/ATF bZIP transcription factor
Q9NS61-2,Isoform 2 of A-type potassium channel modulatory protein KCNIP2
Q9NS61-3,Isoform 3 of A-type potassium channel modulatory protein KCNIP2
Q9NT62,Ubiquitin-like-conjugating enzyme ATG3
Q9NTG7,"NAD-dependent protein deacetylase sirtuin-3, mitochondrial"
Q9NVM4,Protein arginine N-methyltransferase 7
Q9NVP2,Histone chaperone ASF1B
Q9NX63,MICOS complex subunit MIC19
Q9NY61,Protein AATF
Q9NYA1,Sphingosine kinase 1
Q9NYB0,Telomeric repeat-binding factor 2-interacting protein 1
Q9NYJ8,TGF-beta-activated kinase 1 and MAP3K7-binding protein 2
Q9NZ52,ADP-ribosylation factor-binding protein GGA3
Q9NZI2,A-type potassium channel modulatory protein KCNIP1
Q9NZV8,A-type voltage-gated potassium channel KCND2
Q9P0V3,SH3 domain-binding protein 4
Q9P1Q0,Vacuolar protein sorting-associated protein 54
Q9P2Y5,UV radiation resistance-associated gene protein
Q9UBC3-1,Isoform 1 of DNA (cytosine-5)-methyltransferase 3B
Q9UBF8-2,Isoform 2 of Phosphatidylinositol 4-kinase beta
Q9UBK2,Peroxisome proliferator-activated receptor gamma coactivator 1-alpha
Q9UBL3-3,Isoform 3 of Set1/Ash2 histone methyltransferase complex subunit ASH2
Q9UBP0,Spastin
Q9UBP5,Hairy/enhancer-of-split related with YRPW motif protein 2
Q9UBU9,Nuclear RNA export factor 1
Q9UDV6,Zinc finger protein 212
Q9UER7,Death domain-associated protein 6
Q9UGI8,Testin
Q9UH17,DNA dC->dU-editing enzyme APOBEC-3B
Q9UHD2,Serine/threonine-protein kinase TBK1
Q9UHD9,Ubiquilin-2
Q9UHH9,Inositol hexakisphosphate kinase 2
Q9UI08,Ena/VASP-like protein
Q9UI14,Prenylated Rab acceptor protein 1
Q9UIF7,Adenine DNA glycosylase
Q9UJT2,Testis-specific serine kinase substrate
Q9UJW3,DNA (cytosine-5)-methyltransferase 3-like
Q9UJY4,ADP-ribosylation factor-binding protein GGA2
Q9UJY5,ADP-ribosylation factor-binding protein GGA1
Q9UK41,Vacuolar protein sorting-associated protein 28 homolog
Q9UK73,Protein fem-1 homolog B
Q9UKA8-1,Isoform 1 of Calcipressin-3
Q9UKA8-4,Isoform 4 of Calcipressin-3
Q9UKB1,F-box/WD repeat-containing protein 11
Q9UKT4,F-box only protein 5
Q9UKV3-2,Isoform 2 of Apoptotic chromatin condensation inducer in the nucleus
Q9UKV5,E3 ubiquitin-protein ligase AMFR
Q9UKV8,Protein argonaute-2
Q9UL18,Protein argonaute-1
Q9UL25,Ras-related protein Rab-21
Q9UL26,Ras-related protein Rab-22A
Q9ULZ3,Apoptosis-associated speck-like protein containing a CARD
Q9UM11,Fizzy-related protein homolog
Q9UM82,Spermatogenesis-associated protein 2
Q9UMR2,ATP-dependent RNA helicase DDX19B
Q9UMX0,Ubiquilin-1
Q9UMX1,Suppressor of fused homolog
Q9UNA4,DNA polymerase iota
Q9UNE7,E3 ubiquitin-protein ligase CHIP
Q9UNL4,Inhibitor of growth protein 4
Q9UNN5-1,Isoform Long of FAS-associated factor 1
Q9UNS2,COP9 signalosome complex subunit 3
Q9UPU7,TBC1 domain family member 2B
Q9UQB8-4,Isoform 4 of BAR/IMD domain-containing adapter protein 2
Q9UQC2,GRB2-associated-binding protein 2
Q9UQF0-PRO_0000008486,
Q9Y224,"RNA transcription, translation and transport factor protein"
Q9Y265,RuvB-like 1
Q9Y285,Phenylalanine--tRNA ligase alpha subunit
Q9Y294,Histone chaperone ASF1A
Q9Y297,F-box/WD repeat-containing protein 1A
Q9Y2M5,Kelch-like protein 20
Q9Y2R2,Tyrosine-protein phosphatase non-receptor type 22
Q9Y2Y0,ADP-ribosylation factor-like protein 2-binding protein
Q9Y2Z0-2,Isoform 2 of Protein SGT1 homolog
Q9Y3B2,Exosome complex component CSL4
Q9Y3C5,RING finger protein 11
Q9Y3C6,Peptidyl-prolyl cis-trans isomerase-like 1
Q9Y3C8,Ubiquitin-fold modifier-conjugating enzyme 1
Q9Y3E7-1,Isoform 1 of Charged multivesicular body protein 3
Q9Y3F4,Serine-threonine kinase receptor-associated protein
Q9Y3M2,Protein chibby homolog 1
Q9Y3T9,Nucleolar complex protein 2 homolog
Q9Y463,Dual specificity tyrosine-phosphorylation-regulated kinase 1B
Q9Y468,Lethal(3)malignant brain tumor-like protein 1
Q9Y4P1,Cysteine protease ATG4B
Q9Y4X5,E3 ubiquitin-protein ligase ARIH1
Q9Y5A7,NEDD8 ultimate buster 1
Q9Y5B0,RNA polymerase II subunit A C-terminal domain phosphatase
Q9Y5K5,Ubiquitin carboxyl-terminal hydrolase isozyme L5
Q9Y5W3,Krueppel-like factor 2
Q9Y676,Small ribosomal subunit protein mS40
Q9Y6C7,Putative uncharacterized protein encoded by LINC00312
Q9Y6H5,Synphilin-1
Q9Y6I3,Epsin-1
Q9Y6J9,TAF6-like RNA polymerase II p300/CBP-associated factor-associated factor 65 kDa subunit 6L
Q9Y6K1,DNA (cytosine-5)-methyltransferase 3A
Q9Y6M1,Insulin-like growth factor 2 mRNA-binding protein 2
Q9Y6N9,Harmonin
Q9Y6W3,Calpain-7
Q9ULQ1,Two pore channel protein 1
P08887-2,Isoform 2 of Interleukin-6 receptor subunit alpha
P0DML2,Chorionic somatomammotropin hormone 1
P15923-1,Isoform E12 of Transcription factor E2-alpha
P62263,Small ribosomal subunit protein uS11
Q00653-PRO_0000030322,
Q01860,"POU domain, class 5, transcription factor 1"
O15143,Actin-related protein 2/3 complex subunit 1B
Q9NVI7-2,Isoform 2 of ATPase family AAA domain-containing protein 3A
P20749,B-cell lymphoma 3 protein
O00287,Regulatory factor X-associated protein
P49674,Casein kinase I isoform epsilon
Q6P3W7,SCY1-like protein 2
Q92851-7,Isoform 7 of Caspase-10
Q86UQ8-1,Isoform 1 of Transcription factor NF-E4
Q9BXI6,TBC1 domain family member 10A
Q9BXS9-4,Isoform 4 of Solute carrier family 26 member 6
Q9HCE7-2,Isoform Short of E3 ubiquitin-protein ligase SMURF1
O00300,Tumor necrosis factor receptor superfamily member 11B
Q9Y6Q6,Tumor necrosis factor receptor superfamily member 11A
Q96NZ8,"WAP, Kazal, immunoglobulin, Kunitz and NTR domain-containing protein 1"
Q92905,COP9 signalosome complex subunit 5
P34741,Syndecan-2
P23528,Cofilin-1
Q15843,Ubiquitin-like protein NEDD8
Q96J02,E3 ubiquitin-protein ligase Itchy homolog
Q969R5,Lethal(3)malignant brain tumor-like protein 2
O15392-2,Isoform 2 of Baculoviral IAP repeat-containing protein 5
P27348,14-3-3 protein theta
Q13114,TNF receptor-associated factor 3
O43172,U4/U6 small nuclear ribonucleoprotein Prp4
Q13485,Mothers against decapentaplegic homolog 4
O75771,DNA repair protein RAD51 homolog 4
P06729,T-cell surface antigen CD2
Q99952,Tyrosine-protein phosphatase non-receptor type 18
Q9NVW2,E3 ubiquitin-protein ligase RLIM
P51808,Dynein light chain Tctex-type 3
Q16630-1,Isoform 1 of Cleavage and polyadenylation specificity factor subunit 6
Q15382-PRO_0000082708,
Q9NP77,RNA polymerase II subunit A C-terminal domain phosphatase SSU72
Q9Y5L4,Mitochondrial import inner membrane translocase subunit Tim13
P68036,Ubiquitin-conjugating enzyme E2 L3
P19784,Casein kinase II subunit alpha'
O95863,Zinc finger protein SNAI1
Q9UKL0,REST corepressor 1
Q13541,Eukaryotic translation initiation factor 4E-binding protein 1
O15117,FYN-binding protein 1
O75943,Cell cycle checkpoint protein RAD17
Q9H0H5,Rac GTPase-activating protein 1
P18085,ADP-ribosylation factor 4
Q8WUM4,Programmed cell death 6-interacting protein
Q6UXZ0,Transmembrane and immunoglobulin domain-containing protein 1
O00299,Chloride intracellular channel protein 1
P0DMV8,Heat shock 70 kDa protein 1A
P05089,Arginase-1
P48039,Melatonin receptor type 1A
O94874,E3 UFM1-protein ligase 1
Q8N205,Nesprin-4
Q8N6L0,Protein KASH5
Q8TC07,TBC1 domain family member 15
Q8WXU2,Dynein axonemal assembly factor 4
P21127,Cyclin-dependent kinase 11B
Q15849-1,Isoform 1 of Urea transporter 2
Q99728,BRCA1-associated RING domain protein 1
P0DKB6,Mitochondrial pyruvate carrier 1-like protein
Q9Y5U8,Mitochondrial pyruvate carrier 1
Q7LBR1,Charged multivesicular body protein 1b
Q01638-2,Isoform B of Interleukin-1 receptor-like 1
Q9H7E2-3,Isoform 3 of Tudor domain-containing protein 3
Q8TCG1,Protein CIP2A
Q15036,Sorting nexin-17
P50749,Ras association domain-containing protein 2
Q5SW96,Low density lipoprotein receptor adapter protein 1
P00738,Haptoglobin
P51654,Glypican-3
P02768,Albumin
P06401-1,Isoform B of Progesterone receptor
P29279,CCN family member 2
Q86Y37,CDK2-associated and cullin domain-containing protein 1
Q8N895,Zinc finger protein 366
Q96AQ6-1,Isoform 1 of Pre-B-cell leukemia transcription factor-interacting protein 1
Q06124,Tyrosine-protein phosphatase non-receptor type 11
P01116-2,Isoform 2B of GTPase KRas
P31749,RAC-alpha serine/threonine-protein kinase
P04731,Metallothionein-1A
P30405,"Peptidyl-prolyl cis-trans isomerase F, mitochondrial"
P32780,General transcription factor IIH subunit 1
P49757,Protein numb homolog
Q15672,Twist-related protein 1
Q16666-2,Isoform 2 of Gamma-interferon-inducible protein 16
Q8NHY2,E3 ubiquitin-protein ligase COP1
Q92569,Phosphatidylinositol 3-kinase regulatory subunit gamma
Q96PM5,RING finger and CHY zinc finger domain-containing protein 1
Q9BV47,Dual specificity protein phosphatase 26
Q9UHC7,E3 ubiquitin-protein ligase makorin-1
P02511,Alpha-crystallin B chain
P43320,Beta-crystallin B2
P08138,Tumor necrosis factor receptor superfamily member 16
Q13867,Bleomycin hydrolase
P04156,Major prion protein
Q12929,Epidermal growth factor receptor kinase substrate 8
Q9UBP9,PTB domain-containing engulfment adapter protein 1
Q9UQF2,C-Jun-amino-terminal kinase-interacting protein 1
P05387,Large ribosomal subunit protein P2
Q13469-2,"Isoform 2 of Nuclear factor of activated T-cells, cytoplasmic 2"
Q9NR30,Nucleolar RNA helicase 2
P32927,Cytokine receptor common subunit beta
P29353,SHC-transforming protein 1
Q07666,"KH domain-containing, RNA-binding, signal transduction-associated protein 1"
P43686,26S proteasome regulatory subunit 6B
O00505,Importin subunit alpha-4
P52294,Importin subunit alpha-5
P14859,"POU domain, class 2, transcription factor 1"
Q06546,GA-binding protein alpha chain
Q8N726,Tumor suppressor ARF
P63208,S-phase kinase-associated protein 1
P31483,Cytotoxic granule associated RNA binding protein TIA1
Q99814,Endothelial PAS domain-containing protein 1
Q9NYX4,Neuron-specific vesicular protein calcyon
Q9UJ41,Rab5 GDP/GTP exchange factor
O14964,Hepatocyte growth factor-regulated tyrosine kinase substrate
P55036,26S proteasome non-ATPase regulatory subunit 4
Q13490,Baculoviral IAP repeat-containing protein 2
Q8NFZ5,TNFAIP3-interacting protein 2
Q99816,Tumor susceptibility gene 101 protein
Q9UGI0,Ubiquitin thioesterase ZRANB1
Q9Y6K9,NF-kappa-B essential modulator
O75874,Isocitrate dehydrogenase [NADP] cytoplasmic
P61956,Small ubiquitin-related modifier 2
P63165,Small ubiquitin-related modifier 1
P19793,Retinoic acid receptor RXR-alpha
P27986,Phosphatidylinositol 3-kinase regulatory subunit alpha
P63098,Calcineurin subunit B type 1
Q9BYF1,Angiotensin-converting enzyme 2
Q9UBS4,DnaJ homolog subfamily B member 11
Q8IVI9,Nostrin
P09038,Fibroblast growth factor 2
P15172,Myoblast determination protein 1
O00571,ATP-dependent RNA helicase DDX3X
Q15366,Poly(rC)-binding protein 2
Q8IYD1,Eukaryotic peptide chain release factor GTP-binding subunit ERF3B
Q9BPZ3,Polyadenylate-binding protein-interacting protein 2
Q9H074,Polyadenylate-binding protein-interacting protein 1
P30273,High affinity immunoglobulin epsilon receptor subunit gamma
P21953-1,"Isoform 1 of 2-oxoisovalerate dehydrogenase subunit beta, mitochondrial"
P07550,Beta-2 adrenergic receptor
P61978,Heterogeneous nuclear ribonucleoprotein K
P23284-PRO_0000025479,
P25025,C-X-C chemokine receptor type 2
P06493,Cyclin-dependent kinase 1
P28069,Pituitary-specific positive transcription factor 1
P07332,Tyrosine-protein kinase Fes/Fps
O75367,Core histone macro-H2A.1
P51787,Potassium voltage-gated channel subfamily KQT member 1
Q9UK53,Inhibitor of growth protein 1
P50221,Homeobox protein MOX-1
P17676-2,Isoform 2 of CCAAT/enhancer-binding protein beta
Q9Y5N6,Origin recognition complex subunit 6
P31323,cAMP-dependent protein kinase type II-beta regulatory subunit
P28066,Proteasome subunit alpha type-5
P98160-PRO_0000391622,
Q7Z6J6,FERM domain-containing protein 5
Q9ULW5,Ras-related protein Rab-26
P62993,Growth factor receptor-bound protein 2
P19387,DNA-directed RNA polymerase II subunit RPB3
Q96T60,Bifunctional polynucleotide phosphatase/kinase
P28799,Progranulin
Q15628,Tumor necrosis factor receptor type 1-associated DEATH domain protein
P41279,Mitogen-activated protein kinase kinase kinase 8
Q9UKG1,DCC-interacting protein 13-alpha
Q7L3V2,Protein Bop
Q9Y215,Acetylcholinesterase collagenic tail peptide
O14713-1,Isoform 1 of Integrin beta-1-binding protein 1
P14866-1,Isoform 1 of Heterogeneous nuclear ribonucleoprotein L
Q9Y5K6,CD2-associated protein
Q8WVC0,RNA polymerase-associated protein LEO1
P50222,Homeobox protein MOX-2
Q9BTC8,Metastasis-associated protein MTA3
P49336,Cyclin-dependent kinase 8
Q8IY57,YY1-associated factor 2
Q9Y230,RuvB-like 2
O14920,Inhibitor of nuclear factor kappa-B kinase subunit beta
Q15637,Splicing factor 1
P15514,Amphiregulin
Q96LW4,DNA-directed primase/polymerase protein
Q13107,Ubiquitin carboxyl-terminal hydrolase 4
Q99418,Cytohesin-2
P19235,Erythropoietin receptor
P57730,Caspase recruitment domain-containing protein 18
Q13526,Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1
P09382,Galectin-1
P17931,Galectin-3
Q9UBQ5,Eukaryotic translation initiation factor 3 subunit K
O75496,Geminin
P17252,Protein kinase C alpha type
P61587,Rho-related GTP-binding protein RhoE
Q15569,Dual specificity testis-specific protein kinase 1
P23381,"Tryptophan--tRNA ligase, cytoplasmic"
O14777,Kinetochore protein NDC80 homolog
Q08945,FACT complex subunit SSRP1
P49918,Cyclin-dependent kinase inhibitor 1C
P10916,"Myosin regulatory light chain 2, ventricular/cardiac muscle isoform"
O00482-1,Isoform 2 of Nuclear receptor subfamily 5 group A member 2
P49023,Paxillin
Q01826,DNA-binding protein SATB1
Q08050,Forkhead box protein M1
Q9UJU2,Lymphoid enhancer-binding factor 1
Q16584,Mitogen-activated protein kinase kinase kinase 11
P10911,Proto-oncogene DBL
P52565,Rho GDP-dissociation inhibitor 1
P22459,Potassium voltage-gated channel subfamily A member 4
P22460,Potassium voltage-gated channel subfamily A member 5
P28482,Mitogen-activated protein kinase 1
Q13432,Protein unc-119 homolog A
Q9Y6M0,Testisin
P30154,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform
Q6STE5-1,Isoform 1 of SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 3
Q6STE5-2,Isoform 2 of SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 3
P10636-8,Isoform Tau-F of Microtubule-associated protein tau
Q7Z6G8-2,Isoform 2 of Ankyrin repeat and sterile alpha motif domain-containing protein 1B
Q9HCG8,Pre-mRNA-splicing factor CWC22 homolog
Q9UQR0-1,Isoform 1 of Sex comb on midleg-like protein 2
P26441,Ciliary neurotrophic factor
Q8WTV0-3,Isoform 2 of Scavenger receptor class B member 1
P11802,Cyclin-dependent kinase 4
Q13415,Origin recognition complex subunit 1
Q9UBD5,Origin recognition complex subunit 3
O14733-2,Isoform 2 of Dual specificity mitogen-activated protein kinase kinase 7
P60903,Protein S100-A10
O75899,Gamma-aminobutyric acid type B receptor subunit 2
P42262,Glutamate receptor 2
Q15561,Transcriptional enhancer factor TEF-3
Q08752,Peptidyl-prolyl cis-trans isomerase D
Q15054,DNA polymerase delta subunit 3
Q96H20,Vacuolar-sorting protein SNF8
Q02410,Amyloid-beta A4 precursor protein-binding family A member 1
Q96G01,Protein bicaudal D homolog 1
P60891-1,Isoform 1 of Ribose-phosphate pyrophosphokinase 1
P15884,Transcription factor 4
Q9Y5X1,Sorting nexin-9
Q17RY0,Cytoplasmic polyadenylation element-binding protein 4
Q8NE35,Cytoplasmic polyadenylation element-binding protein 3
Q9UIV1,CCR4-NOT transcription complex subunit 7
Q9BV36,Melanophilin
Q99459,Cell division cycle 5-like protein
P06703,Protein S100-A6
P51809,Vesicle-associated membrane protein 7
O43143,ATP-dependent RNA helicase DHX15
Q9UMS4,Pre-mRNA-processing factor 19
Q99593-1,Isoform 1 of T-box transcription factor TBX5
Q71F23-1,Isoform 1 of Centromere protein U
P53674,Beta-crystallin B1
P62258,14-3-3 protein epsilon
Q9H2D6-5,Isoform 1 of TRIO and F-actin-binding protein
Q9UKT5-1,Isoform 1 of F-box only protein 4
O60543,Lipid transferase CIDEA
Q92890,Ubiquitin recognition factor in ER-associated degradation protein 1
Q16799-3,Isoform RTN1-C of Reticulon-1
P40855,Peroxisomal biogenesis factor 19
P02795,Metallothionein-2
O43300,Leucine-rich repeat transmembrane neuronal protein 2
P78344,Eukaryotic translation initiation factor 4 gamma 2
Q15642,Cdc42-interacting protein 4
Q96QF0,Rab-3A-interacting protein
Q96BH1,E3 ubiquitin-protein ligase RNF25
Q8IWE4,DCN1-like protein 3
Q9Y5S9,RNA-binding protein 8A
O00566,U3 small nucleolar ribonucleoprotein protein MPP10
O43913,Origin recognition complex subunit 5
O75864,Protein phosphatase 1 regulatory subunit 37
P47775,G-protein coupled receptor 12
P57789,Potassium channel subfamily K member 10
Q00535,Cyclin-dependent kinase 5
Q14684,Ribosomal RNA processing protein 1 homolog B
Q6PJW8,Consortin
Q86WC6,Protein phosphatase 1 regulatory subunit 27
Q8IWZ5,Tripartite motif-containing protein 42
Q8N567,Zinc finger CCHC domain-containing protein 9
Q8TAP8,Protein phosphatase 1 regulatory subunit 35
Q8TBB6,Solute carrier family 7 member 14
Q8TEL6,Short transient receptor potential channel 4-associated protein
Q8WYN3,Cysteine/serine-rich nuclear protein 3
Q96MP5,Zinc finger SWIM domain-containing protein 3
Q9H175,Cysteine/serine-rich nuclear protein 2
Q9H4Z3,mRNA (2'-O-methyladenosine-N(6)-)-methyltransferase
Q9H788,SH2 domain-containing protein 4A
Q9HBF4,Zinc finger FYVE domain-containing protein 1
Q9NW75,G patch domain-containing protein 2
Q53EL6,Programmed cell death protein 4
Q02241,Kinesin-like protein KIF23
Q9Y2T1,Axin-2
Q16576,Histone-binding protein RBBP7
P18754,Regulator of chromosome condensation
P43487,Ran-specific GTPase-activating protein
Q99942,E3 ubiquitin-protein ligase RNF5
Q14155,Rho guanine nucleotide exchange factor 7
O94806,Serine/threonine-protein kinase D3
P57059,Serine/threonine-protein kinase SIK1
Q9P0K1,Disintegrin and metalloproteinase domain-containing protein 22
Q7L7L0,Histone H2A type 3
P0CAP1,Myocardial zonula adherens protein
P19419,ETS domain-containing protein Elk-1
Q9Y3V2,RWD domain-containing protein 3
Q9Y232,Chromodomain Y-like protein
P17987,T-complex protein 1 subunit alpha
P12755,Ski oncogene
Q96BD5,PHD finger protein 21A
Q8WVM0,"Dimethyladenosine transferase 1, mitochondrial"
Q9H5Q4,"Dimethyladenosine transferase 2, mitochondrial"
P10589,COUP transcription factor 1
P35269,General transcription factor IIF subunit 1
P42677,Small ribosomal subunit protein eS27
P62081,Small ribosomal subunit protein eS7
P78352,Disks large homolog 4
Q14201,Protein BTG3
Q15723,ETS-related transcription factor Elf-2
Q13901,Nuclear nucleic acid-binding protein C1D
P19447,General transcription and DNA repair factor IIH helicase/translocase subunit XPB
P41208,Centrin-2
Q99697-3,Isoform PTX2A of Pituitary homeobox 2
Q9NRW1,Ras-related protein Rab-6B
P15056,Serine/threonine-protein kinase B-raf
Q13769,THO complex subunit 5
P18847-3,Isoform 3 of Cyclic AMP-dependent transcription factor ATF-3
Q8N6T7,NAD-dependent protein deacylase sirtuin-6
Q03431,Parathyroid hormone/parathyroid hormone-related peptide receptor
Q8N5S9,Calcium/calmodulin-dependent protein kinase kinase 1
P56945,Breast cancer anti-estrogen resistance protein 1
P29590-5,Isoform PML-4 of Protein PML
Q9H2F5,Enhancer of polycomb homolog 1
Q96K30,RBPJ-interacting and tubulin-associated protein 1
Q99081-3,Isoform 3 of Transcription factor 12
Q14159,DNA repair-scaffolding protein
Q86XK3,Swi5-dependent recombination DNA repair protein 1 homolog
Q96B01-3,Isoform 3 of RAD51-associated protein 1
Q14653,Interferon regulatory factor 3
Q9BXH1,"Bcl-2-binding component 3, isoforms 1/2"
P52298-1,Isoform 1 of Nuclear cap-binding protein subunit 2
Q14790,Caspase-8
Q92851,Caspase-10
Q99497,Parkinson disease protein 7
P21731,Thromboxane A2 receptor
Q86Y97,Histone-lysine N-methyltransferase KMT5C
Q15466,Nuclear receptor subfamily 0 group B member 2
Q8TEY7-2,Isoform 2 of Ubiquitin carboxyl-terminal hydrolase 33
Q9Y6D9,Mitotic spindle assembly checkpoint protein MAD1
Q9UBF1,Melanoma-associated antigen C2
Q99708,DNA endonuclease RBBP8
P48059,LIM and senescent cell antigen-like-containing domain protein 1
P11473,Vitamin D3 receptor
P27361,Mitogen-activated protein kinase 3
Q9Y572,Receptor-interacting serine/threonine-protein kinase 3
O43791,Speckle-type POZ protein
P62877,E3 ubiquitin-protein ligase RBX1
Q9Y3Y2,Chromatin target of PRMT1 protein
P48436,Transcription factor SOX-9
P09917,Polyunsaturated fatty acid 5-lipoxygenase
O60506-1,Isoform 1 of Heterogeneous nuclear ribonucleoprotein Q
Q8IYM1,Septin-12
Q06547,GA-binding protein subunit beta-1
Q13492,Phosphatidylinositol-binding clathrin assembly protein
O95229,Outer kinetochore KNL1 complex subunit ZWINT
Q6ZNE5,Beclin 1-associated autophagy-related key regulator
Q8N5C8,TGF-beta-activated kinase 1 and MAP3K7-binding protein 3
Q9BZR8,Apoptosis facilitator Bcl-2-like protein 14
A9QM74,Importin subunit alpha-8
Q8TED0,U3 small nucleolar RNA-associated protein 15 homolog
P61964,WD repeat-containing protein 5
Q9UBL3,Set1/Ash2 histone methyltransferase complex subunit ASH2
Q96CW1,AP-2 complex subunit mu
